FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5
Nathan,Aké,DEF,MCI,5000000,7,7,7,1.4E-06,1.4E-06,0,11146,0,0,0,0,0,0,0,1.4,11146,0,0,7,0,1.4,0,7,1,0,1,0,0,1.4,44285,0,-1,0,0,90,44285,0,0,26,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa
Marc,Albrighton,MID,LEI,5000000,0,0,0,0,0,0,1834,0,0,0,0,0,0,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1101,0,-1,0,0,0,1101,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton
Trent,Alexander-Arnold,DEF,LIV,7500000,1,1,1,1.33333333333333E-07,1.33333333333333E-07,0,178080,0,2,0,0,0,0,0,0.1,178080,0,0,1,0,0.1,0,1,0,0,0,0,0,55.9,53810,0,-1,0,0,90,53810,0,0,13,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton
,Alisson,GLK,LIV,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,116676,0,2,0,1,0,0,0,0.2,116676,0,0,1,0,0.2,0,1,0,0,0,0,0,18.7,33091,0,-1,0,0,90,33091,0,0,11,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton
,Allan,MID,EVE,5000000,0,0,0,0,0,0,2587,0,0,0,0,0,0,0,0,2587,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1535,0,-1,0,0,0,1535,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool
,Almirón,MID,NEW,5000000,3,3,3,6E-07,6E-07,0,11646,0,0,0,0,0,0,0,0.6,11646,0,0,3,0,0.6,0,3,0,0,1,0,0,1.4,18517,0,-1,0,0,80,18517,0,0,16,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace
Marcos,Alonso,DEF,CHE,5400000,0,0,0,0,0,0,80040,0,0,0,0,0,0,0,0,80040,-1,1,0,1,0,0,0,0,0,0,0,0,2.6,2863,0,-1,0,0,0,2863,-1,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham
Julián,Álvarez,FWD,MCI,6500000,1,1,1,1.53846153846154E-07,1.53846153846154E-07,0,61048,0,0,0,0,0,0,0,0.2,61048,0,0,1,0,0.2,0,1,0,0,0,0,0,2.4,14549,0,-1,0,0,12,14549,0,0,1,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa
Steven,Alzate,MID,BHA,4500000,0,0,0,0,0,0,2110,0,0,0,0,0,0,0,0,2110,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2368,0,-1,0,0,0,2368,0,0,0,Newcastle,West Ham,Leeds United F.C.,Fulham,Leicester
,Amad,MID,MUN,4500000,0,0,0,0,0,0,1997,0,0,0,0,0,0,0,0,1997,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1942,0,-1,0,0,0,1942,0,0,0,Brentford F.C.,Liverpool,Southampton,Leicester,Arsenal
Daniel,Amartey,DEF,LEI,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,2931,0,2,0,0,0,0,0,0.2,2931,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,2360,0,-1,0,0,90,2360,0,0,16,Arsenal,Southampton,Chelsea,Man Utd,Brighton
Ethan,Ampadu,DEF,CHE,4500000,0,0,0,0,0,0,1129,0,0,0,0,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0.1,434,0,-1,0,0,0,434,0,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham
Joachim,Andersen,DEF,CRY,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,20573,0,2,0,0,0,0,0,0.2,20573,0,0,1,0,0.2,0,1,0,0,0,0,0,2.6,9945,0,-1,0,0,90,9945,0,0,20,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,1762,0,0,0,0,0,0,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2702,0,-1,0,0,0,2702,0,0,0,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace
,André Gomes,MID,EVE,4500000,0,0,0,0,0,0,4516,0,0,0,0,0,0,0,0,4516,0,0,0,0,0,0,0,0,0,0,0,0,0.2,286,0,-1,0,0,0,286,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool
,Andreas,MID,FUL,4500000,2,2,2,4.44444444444444E-07,4.44444444444444E-07,0,45687,0,2,0,0,0,0,0,0.4,45687,0,0,2,0,0.4,0,2,0,0,0,0,0,25.3,144869,0,-1,0,0,88,144869,0,0,5,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham
Jaidon,Anthony,MID,BOU,5500000,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0.1,423,0,-1,0,0,0,423,0,0,0,Man City,Arsenal,Liverpool,Wolverhampton,Nottingham Forest FC
Michail,Antonio,FWD,WHU,7500000,1,1,1,1.33333333333333E-07,1.33333333333333E-07,0,70081,0,1,0,0,0,0,0,0.1,70081,0,0,1,0,0.1,0,1,0,0,0,0,0,4.5,29213,0,-1,0,0,56,29213,0,0,1,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea
Cameron,Archer,FWD,AVL,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,36173,0,0,0,0,0,0,0,0.2,36173,0,0,1,0,0.2,0,1,0,0,0,0,0,7.5,30999,0,-1,0,0,8,30999,0,0,3,Everton,Crystal Palace,West Ham,Arsenal,Man City
Alphonse,Areola,GLK,WHU,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,11120,0,2,0,0,0,0,0,0.2,11120,0,0,1,0,0.2,0,1,0,0,0,0,0,1.6,15426,0,-1,0,0,61,15426,0,0,2,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea
,Aribo,MID,SOU,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,5507,0,4,0,0,0,0,0,0.4,5507,0,0,2,0,0.4,0,2,0,0,0,0,0,0.6,4118,0,-1,0,0,90,4118,0,0,5,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
Kepa,Arrizabalaga,GLK,CHE,4500000,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0,0,0,0,0,0.2,953,0,-1,0,0,0,953,0,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham
Harry,Arter,MID,NFO,4500000,0,0,0,0,0,0,2904,0,0,0,0,0,0,0,0,2904,0,0,0,0,0,0,0,0,0,0,0,0,0.3,997,0,-1,0,0,0,997,0,0,0,West Ham,Everton,Tottenham,Man City,Bournemouth
Harrison,Ashby,DEF,WHU,4000000,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0.3,4137,0,-1,0,0,0,4137,0,0,0,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea
Ludwig,Augustinsson,DEF,AVL,4500000,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0.1,295,0,-1,0,0,0,295,0,0,0,Everton,Crystal Palace,West Ham,Arsenal,Man City
Brandon,Austin,GLK,TOT,4000000,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1109,0,-1,0,0,0,1109,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham
Taiwo,Awoniyi,FWD,NFO,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,18043,0,1,0,0,0,0,0,0.2,18043,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,2284,0,-1,0,0,27,2284,0,0,6,West Ham,Everton,Tottenham,Man City,Bournemouth
Jordan,Ayew,MID,CRY,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,3975,0,2,0,0,0,0,0,0.4,3975,0,0,2,0,0.4,0,2,0,0,0,0,0,0.3,3492,0,-1,0,0,90,3492,0,0,5,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle
Luke,Ayling,DEF,LEE,4500000,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,-1,0,0,0,134,0,0,0,Southampton,Chelsea,Brighton,Everton,Brentford F.C.
César,Azpilicueta,DEF,CHE,5000000,7,7,7,1.4E-06,1.4E-06,0,13960,0,0,0,0,0,0,0,1.4,13960,0,0,7,0,1.4,0,7,1,0,1,0,0,2.1,36757,0,-1,0,0,90,36757,0,0,30,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham
,B.Williams,DEF,MUN,4000000,0,0,0,0,0,0,16110,0,0,0,0,0,0,0,0,16110,0,0,0,0,0,0,0,0,0,0,0,0,2.4,4314,0,-1,0,0,0,4314,0,0,0,Brentford F.C.,Liverpool,Southampton,Leicester,Arsenal
Leon,Bailey,MID,AVL,5000000,2,2,2,4E-07,4E-07,0,92604,0,2,0,0,0,0,0,0.4,92604,0,0,2,0,0.4,0,2,0,0,0,0,0,17.1,77863,0,-1,0,0,90,77863,0,0,8,Everton,Crystal Palace,West Ham,Arsenal,Man City
Eric,Bailly,DEF,MUN,4000000,0,0,0,0,0,0,14658,0,0,0,0,0,0,0,0,14658,0,0,0,0,0,0,0,0,0,0,0,0,1.7,10168,0,-1,0,0,0,10168,0,0,0,Brentford F.C.,Liverpool,Southampton,Leicester,Arsenal
Stefan,Bajcetic,MID,LIV,4500000,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,-1,0,0,0,103,0,0,0,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton
Ellery,Balcombe,GLK,BRE,4000000,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,-1,0,0,0,0,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.
Patrick,Bamford,FWD,LEE,7500000,5,5,5,6.66666666666667E-07,6.66666666666667E-07,0,16345,0,1,0,0,0,0,0,0.7,16345,0,0,5,0,0.7,0,5,0,0,0,0,1,1.5,18390,0,-1,0,0,83,18390,0,0,8,Southampton,Chelsea,Brighton,Everton,Brentford F.C.
Shandon,Baptiste,MID,BRE,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,1996,0,0,0,0,0,0,0,0.2,1996,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,1779,0,-1,0,0,17,1779,0,0,5,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.
Ross,Barkley,MID,CHE,5000000,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0.1,325,0,-1,0,0,0,325,0,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham
Harvey,Barnes,MID,LEI,7000000,0,0,0,0,0,0,70675,0,0,0,0,0,0,0,0,70675,0,0,0,0,0,0,0,0,0,0,0,0,1.4,210,0,-1,0,0,0,210,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton
Lewis,Bate,MID,LEE,4500000,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Southampton,Chelsea,Brighton,Everton,Brentford F.C.
Gavin,Bazunu,GLK,SOU,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,3338,0,4,0,5,0,0,0,0.2,3338,0,0,1,0,0.2,0,1,0,0,0,0,0,0.7,2344,0,-1,0,0,90,2344,0,0,20,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
,Bech,DEF,BRE,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,488,0,0,0,0,0,0,0,0.2,488,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,337,0,-1,0,0,6,337,0,0,3,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.
Jan,Bednarek,DEF,SOU,4500000,0,0,0,0,0,0,4250,0,4,0,0,0,0,0,0,4250,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1108,0,-1,0,0,90,1108,0,0,18,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
Asmir,Begović,GLK,EVE,4000000,0,0,0,0,0,0,1831,0,0,0,0,0,0,0,0,1831,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3070,0,-1,0,0,0,3070,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool
Armel,Bella-Kotchap,DEF,SOU,4500000,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0.1,86,0,-1,0,0,0,86,0,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
Saïd,Benrahma,MID,WHU,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,30411,0,1,0,0,0,0,0,0.2,30411,0,0,1,0,0.2,0,1,0,0,0,0,0,2,10700,0,-1,0,0,33,10700,0,0,0,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea
Rodrigo,Bentancur,MID,TOT,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,6377,1,1,0,0,0,0,0,0.2,6377,0,0,1,0,0.2,0,1,0,0,0,0,0,0.4,4270,0,-1,0,0,85,4270,0,0,19,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham
Christian,Benteke,FWD,CRY,5500000,0,0,0,0,0,0,28533,0,0,0,0,0,0,0,0,28533,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3358,0,-1,0,0,0,3358,0,0,0,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle
Steven,Bergwijn,MID,TOT,5500000,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham
,Bernardo,MID,MCI,7000000,1,1,1,1.42857142857143E-07,1.42857142857143E-07,0,138100,0,0,0,0,0,0,0,0.1,138100,0,0,1,0,0.1,0,1,0,0,0,0,0,6.6,23493,0,-1,0,0,12,23493,0,0,3,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa
Ryan,Bertrand,DEF,LEI,4000000,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,-1,0,0,0,604,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton
Giulian,Biancone,DEF,NFO,4500000,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0.1,145,0,-1,0,0,0,145,0,0,0,West Ham,Everton,Tottenham,Man City,Bournemouth
Mads,Bidstrup,MID,BRE,4500000,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.
Philip,Billing,MID,BOU,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,1968,1,0,0,0,0,0,0,0.4,1968,0,0,2,0,0.4,0,2,0,0,1,0,0,0.2,714,0,-1,0,0,90,714,0,0,10,Man City,Arsenal,Liverpool,Wolverhampton,Nottingham Forest FC
Yves,Bissouma,MID,TOT,5000000,0,0,0,0,0,0,10506,1,0,0,0,0,0,0,0,10506,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4615,0,-1,0,0,4,4615,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham
Willy,Boly,DEF,WOL,4500000,0,0,0,0,0,0,3797,0,0,0,0,0,0,0,0,3797,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1074,0,-1,0,0,0,1074,0,0,0,Fulham,Tottenham,Newcastle,Bournemouth,Southampton
Sven,Botman,DEF,NEW,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,24312,0,0,0,0,0,0,0,0.2,24312,0,0,1,0,0.2,0,1,0,0,0,0,0,2.1,6704,0,-1,0,0,1,6704,0,0,3,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace
Jarrod,Bowen,MID,WHU,8500000,2,2,2,2.35294117647059E-07,2.35294117647059E-07,0,63416,0,2,0,0,0,0,0,0.2,63416,0,0,2,0,0.2,0,2,0,0,0,0,0,6.5,42806,0,-1,0,0,90,42806,0,0,5,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea
Jarrad,Branthwaite,DEF,EVE,4000000,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool
Armando,Broja,FWD,CHE,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,18633,0,0,0,0,0,0,0,0.2,18633,0,0,1,0,0.2,0,1,0,0,0,0,0,1.4,6225,0,-1,0,0,15,6225,0,0,3,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham
David,Brooks,MID,BOU,5500000,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,-1,0,0,0,83,0,0,0,Man City,Arsenal,Liverpool,Wolverhampton,Nottingham Forest FC
,Bruno Guimarães,MID,NEW,6000000,3,3,3,5E-07,5E-07,0,69102,0,0,0,0,0,0,0,0.5,69102,0,0,3,0,0.5,0,3,0,0,1,0,0,10.2,47446,0,-1,0,0,90,47446,0,0,17,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace
Lewis,Brunt,DEF,LEI,4000000,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1685,0,-1,0,0,0,1685,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton
,Bryan,MID,TOT,5000000,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,-1,0,0,0,200,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham
Joe,Bryan,DEF,FUL,4500000,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-1,0,0,0,48,0,0,0,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham
,Buendía,MID,AVL,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,8102,0,1,0,0,0,0,0,0.2,8102,0,0,1,0,0.2,0,1,0,0,0,0,0,0.5,2144,0,-1,0,0,45,2144,0,0,8,Everton,Crystal Palace,West Ham,Arsenal,Man City
,Bueno,DEF,WOL,4000000,0,0,0,0,0,0,3999,0,0,0,0,0,0,0,0,3999,0,0,0,0,0,0,0,0,0,0,0,0,0.7,6941,0,-1,0,0,0,6941,0,0,0,Fulham,Tottenham,Newcastle,Bournemouth,Southampton
Dan,Burn,DEF,NEW,4500000,6,6,6,1.33333333333333E-06,1.33333333333333E-06,0,5353,0,0,0,0,0,0,0,1.3,5353,0,0,6,0,1.3,0,6,0,0,1,0,0,1.2,12803,0,-1,0,0,90,12803,0,0,23,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace
Jack,Butland,GLK,CRY,4500000,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,0,0,0,0,0,0.1,74,0,-1,0,0,0,74,0,0,0,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle
,C.Doucouré,MID,CRY,5000000,2,2,2,4E-07,4E-07,0,1685,0,1,0,0,0,0,0,0.4,1685,0,0,2,0,0.4,0,2,0,0,0,0,0,0.1,1597,0,-1,0,0,74,1597,0,0,16,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle
Willy,Caballero,GLK,SOU,4000000,0,0,0,0,0,0,3516,0,0,0,0,0,0,0,0,3516,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2580,0,-1,0,0,0,2580,0,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
,Cafú,MID,NFO,4500000,0,0,0,0,0,0,4904,0,0,0,0,0,0,0,0,4904,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1727,0,-1,0,0,0,1727,0,0,0,West Ham,Everton,Tottenham,Man City,Bournemouth
,Caicedo,MID,BHA,5000000,2,2,2,4E-07,4E-07,0,1113,0,1,0,0,0,0,0,0.4,1113,0,0,2,0,0.4,0,2,0,0,0,0,0,0.2,5021,0,-1,0,0,90,5021,0,0,17,Newcastle,West Ham,Leeds United F.C.,Fulham,Leicester
Tom,Cairney,MID,FUL,5000000,1,1,1,2E-07,2E-07,0,977,0,0,0,0,0,0,0,0.2,977,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,306,0,-1,0,0,1,306,0,0,3,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham
Dominic,Calvert-Lewin,FWD,EVE,8000000,0,0,0,0,0,0,17113,0,0,0,0,0,0,0,0,17113,0,0,0,0,0,0,0,0,0,0,0,0,0.4,352,0,-1,0,0,0,352,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool
Chem,Campbell,MID,WOL,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,1392,0,0,0,0,0,0,0,0.2,1392,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,6794,0,-1,0,0,5,6794,0,0,2,Fulham,Tottenham,Newcastle,Bournemouth,Southampton
João,Cancelo,DEF,MCI,7000000,7,7,7,1E-06,1E-06,0,81626,1,0,0,0,0,0,0,1,81626,0,0,7,0,1,0,7,2,0,1,0,0,45.1,122876,0,-1,0,0,90,122876,0,0,27,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa
,Canós,DEF,BRE,5000000,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-1,0,0,0,100,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.
Scott,Carson,GLK,MCI,4000000,0,0,0,0,0,0,955,0,0,0,0,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0.2,437,0,-1,0,0,0,437,0,0,0,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa
,Carvalho,MID,LIV,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,4196,0,0,0,0,0,0,0,0.2,4196,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,2101,0,-1,0,0,12,2101,0,0,1,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton
Matty,Cash,DEF,AVL,5000000,1,1,1,2E-07,2E-07,0,179886,0,2,0,0,0,0,0,0.2,179886,0,0,1,0,0.2,0,1,0,0,0,0,0,17.4,37287,0,-1,0,0,90,37287,0,0,15,Everton,Crystal Palace,West Ham,Arsenal,Man City
